case_id,variant,mode,draw,message,gold,candidates,expected,prompt,output_raw,output_norm,matched,in_list,correct,latency_ms,tokens
P2,exact,free,2,can we move our 8pm table to 9pm tonight,reservation,refund|tracking|reservation|dietary_request,reservation,"Candidate intents:
refund: wants money back
tracking: where their order is
reservation: book or change a table
dietary_request: asking about allergens or dietary options
User message: can we move our 8pm table to 9pm tonight

Answer with exactly one intent name from the list above.",reservation,reservation,True,True,True,2383.7,2
P2,exact,enum,0,can we move our 8pm table to 9pm tonight,reservation,refund|tracking|reservation|dietary_request,reservation,"Candidate intents:
refund: wants money back
tracking: where their order is
reservation: book or change a table
dietary_request: asking about allergens or dietary options
User message: can we move our 8pm table to 9pm tonight

Answer with exactly one intent name from the list above.",reservation,reservation,True,True,True,2405.8,4
P2,exact,enum,1,can we move our 8pm table to 9pm tonight,reservation,refund|tracking|reservation|dietary_request,reservation,"Candidate intents:
refund: wants money back
tracking: where their order is
reservation: book or change a table
dietary_request: asking about allergens or dietary options
User message: can we move our 8pm table to 9pm tonight

Answer with exactly one intent name from the list above.",reservation,reservation,True,True,True,2249.3,4
P2,exact,enum,2,can we move our 8pm table to 9pm tonight,reservation,refund|tracking|reservation|dietary_request,reservation,"Candidate intents:
refund: wants money back
tracking: where their order is
reservation: book or change a table
dietary_request: asking about allergens or dietary options
User message: can we move our 8pm table to 9pm tonight

Answer with exactly one intent name from the list above.",reservation,reservation,True,True,True,2278.3,4
P3,exact,free,0,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.
You must choose exactly one name from the list above and nothing else.",tracking,tracking,True,True,True,2297.8,2
P3,exact,free,1,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.
You must choose exactly one name from the list above and nothing else.",tracking,tracking,True,True,True,2290.1,2
P3,exact,free,2,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.
You must choose exactly one name from the list above and nothing else.",tracking,tracking,True,True,True,2274.4,2
P3,exact,enum,0,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.
You must choose exactly one name from the list above and nothing else.",tracking,tracking,True,True,True,2308.1,4
P3,exact,enum,1,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.
You must choose exactly one name from the list above and nothing else.",tracking,tracking,True,True,True,2349.0,4
P3,exact,enum,2,where is my package?,tracking,refund|tracking|account,tracking,"Candidate intents:
refund: the user wants money back for a purchase
tracking: the user wants to know where their order is
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.
You must choose exactly one name from the list above and nothing else.",tracking,tracking,True,True,True,2349.6,4
P4,exact,free,0,where is my package?,tracking,tracking|shipping_address|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
shipping_address: the user wants to change or check the delivery address
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2219.0,2
P4,exact,free,1,where is my package?,tracking,tracking|shipping_address|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
shipping_address: the user wants to change or check the delivery address
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2258.6,2
P4,exact,free,2,where is my package?,tracking,tracking|shipping_address|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
shipping_address: the user wants to change or check the delivery address
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2281.2,2
P4,exact,enum,0,where is my package?,tracking,tracking|shipping_address|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
shipping_address: the user wants to change or check the delivery address
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2345.6,4
P4,exact,enum,1,where is my package?,tracking,tracking|shipping_address|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
shipping_address: the user wants to change or check the delivery address
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2361.2,4
P4,exact,enum,2,where is my package?,tracking,tracking|shipping_address|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
shipping_address: the user wants to change or check the delivery address
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2381.2,4
P5,exact,free,0,where is my package?,tracking,tracking|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2357.4,2
P5,exact,free,1,where is my package?,tracking,tracking|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2325.3,2
P5,exact,free,2,where is my package?,tracking,tracking|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2200.6,2
P5,exact,enum,0,where is my package?,tracking,tracking|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2261.8,4
P5,exact,enum,1,where is my package?,tracking,tracking|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2306.4,4
P5,exact,enum,2,where is my package?,tracking,tracking|refund|account,tracking,"Candidate intents:
tracking: the user wants to know where their order is
refund: the user wants money back for a purchase
account: the user is asking about login or profile
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2300.1,4
P6,exact,free,0,I want to register for calculus next semester,course_enrollment,course_enrollment|course_cancellation|transcript,course_enrollment,"Candidate intents:
course_enrollment: the user wants to register for a course
course_cancellation: the user wants to drop a course
transcript: the user requests academic transcripts
User message: I want to register for calculus next semester

Answer with exactly one intent name from the list above.",course_enrollment,course_enrollment,True,True,True,2296.5,4
P6,exact,free,2,I want to register for calculus next semester,course_enrollment,course_enrollment|course_cancellation|transcript,course_enrollment,"Candidate intents:
course_enrollment: the user wants to register for a course
course_cancellation: the user wants to drop a course
transcript: the user requests academic transcripts
User message: I want to register for calculus next semester

Answer with exactly one intent name from the list above.",course_enrollment,course_enrollment,True,True,True,2253.8,4
P6,exact,free,1,I want to register for calculus next semester,course_enrollment,course_enrollment|course_cancellation|transcript,course_enrollment,"Candidate intents:
course_enrollment: the user wants to register for a course
course_cancellation: the user wants to drop a course
transcript: the user requests academic transcripts
User message: I want to register for calculus next semester

Answer with exactly one intent name from the list above.",course_enrollment,course_enrollment,True,True,True,2336.2,4
P6,exact,enum,0,I want to register for calculus next semester,course_enrollment,course_enrollment|course_cancellation|transcript,course_enrollment,"Candidate intents:
course_enrollment: the user wants to register for a course
course_cancellation: the user wants to drop a course
transcript: the user requests academic transcripts
User message: I want to register for calculus next semester

Answer with exactly one intent name from the list above.",course_enrollment,course_enrollment,True,True,True,2345.8,6
P6,exact,enum,1,I want to register for calculus next semester,course_enrollment,course_enrollment|course_cancellation|transcript,course_enrollment,"Candidate intents:
course_enrollment: the user wants to register for a course
course_cancellation: the user wants to drop a course
transcript: the user requests academic transcripts
User message: I want to register for calculus next semester

Answer with exactly one intent name from the list above.",course_enrollment,course_enrollment,True,True,True,2264.4,6
P6,exact,enum,2,I want to register for calculus next semester,course_enrollment,course_enrollment|course_cancellation|transcript,course_enrollment,"Candidate intents:
course_enrollment: the user wants to register for a course
course_cancellation: the user wants to drop a course
transcript: the user requests academic transcripts
User message: I want to register for calculus next semester

Answer with exactly one intent name from the list above.",course_enrollment,course_enrollment,True,True,True,2278.6,6
P7,exact,free,0,I want to sign up for a gym membership,gym_membership,gym_membership|cancellation_freeze|trial_period|class_booking,gym_membership,"Candidate intents:
gym_membership: the user asks about gym membership
cancellation_freeze: the user wants to freeze membership
trial_period: the user asks about a free trial
class_booking: the user wants to book a fitness class
User message: I want to sign up for a gym membership

Answer with exactly one intent name from the list above.",gym_membership,gym_membership,True,True,True,2253.2,4
P7,exact,free,1,I want to sign up for a gym membership,gym_membership,gym_membership|cancellation_freeze|trial_period|class_booking,gym_membership,"Candidate intents:
gym_membership: the user asks about gym membership
cancellation_freeze: the user wants to freeze membership
trial_period: the user asks about a free trial
class_booking: the user wants to book a fitness class
User message: I want to sign up for a gym membership

Answer with exactly one intent name from the list above.",gym_membership,gym_membership,True,True,True,2281.6,4
P7,exact,free,2,I want to sign up for a gym membership,gym_membership,gym_membership|cancellation_freeze|trial_period|class_booking,gym_membership,"Candidate intents:
gym_membership: the user asks about gym membership
cancellation_freeze: the user wants to freeze membership
trial_period: the user asks about a free trial
class_booking: the user wants to book a fitness class
User message: I want to sign up for a gym membership

Answer with exactly one intent name from the list above.",gym_membership,gym_membership,True,True,True,2273.4,4
P7,exact,enum,0,I want to sign up for a gym membership,gym_membership,gym_membership|cancellation_freeze|trial_period|class_booking,gym_membership,"Candidate intents:
gym_membership: the user asks about gym membership
cancellation_freeze: the user wants to freeze membership
trial_period: the user asks about a free trial
class_booking: the user wants to book a fitness class
User message: I want to sign up for a gym membership

Answer with exactly one intent name from the list above.",gym_membership,gym_membership,True,True,True,2308.0,5
P7,exact,enum,1,I want to sign up for a gym membership,gym_membership,gym_membership|cancellation_freeze|trial_period|class_booking,gym_membership,"Candidate intents:
gym_membership: the user asks about gym membership
cancellation_freeze: the user wants to freeze membership
trial_period: the user asks about a free trial
class_booking: the user wants to book a fitness class
User message: I want to sign up for a gym membership

Answer with exactly one intent name from the list above.",gym_membership,gym_membership,True,True,True,2336.3,5
P7,exact,enum,2,I want to sign up for a gym membership,gym_membership,gym_membership|cancellation_freeze|trial_period|class_booking,gym_membership,"Candidate intents:
gym_membership: the user asks about gym membership
cancellation_freeze: the user wants to freeze membership
trial_period: the user asks about a free trial
class_booking: the user wants to book a fitness class
User message: I want to sign up for a gym membership

Answer with exactly one intent name from the list above.",gym_membership,gym_membership,True,True,True,2326.9,5
P8,exact,free,0,I need to consult with a lawyer about a contract dispute,case_consultation,case_consultation|document_review|contract_draft|dispute_resolution,case_consultation,"Candidate intents:
case_consultation: the user wants legal advice
document_review: the user wants legal document reviewed
contract_draft: the user needs a contract drafted
dispute_resolution: the user wants help resolving dispute
User message: I need to consult with a lawyer about a contract dispute

Answer with exactly one intent name from the list above.",dispute_resolution,dispute_resolution,True,True,False,2264.1,4
P8,exact,free,1,I need to consult with a lawyer about a contract dispute,case_consultation,case_consultation|document_review|contract_draft|dispute_resolution,case_consultation,"Candidate intents:
case_consultation: the user wants legal advice
document_review: the user wants legal document reviewed
contract_draft: the user needs a contract drafted
dispute_resolution: the user wants help resolving dispute
User message: I need to consult with a lawyer about a contract dispute

Answer with exactly one intent name from the list above.",dispute_resolution,dispute_resolution,True,True,False,2250.9,4
P8,exact,free,2,I need to consult with a lawyer about a contract dispute,case_consultation,case_consultation|document_review|contract_draft|dispute_resolution,case_consultation,"Candidate intents:
case_consultation: the user wants legal advice
document_review: the user wants legal document reviewed
contract_draft: the user needs a contract drafted
dispute_resolution: the user wants help resolving dispute
User message: I need to consult with a lawyer about a contract dispute

Answer with exactly one intent name from the list above.",dispute_resolution,dispute_resolution,True,True,False,2262.4,4
P8,exact,enum,0,I need to consult with a lawyer about a contract dispute,case_consultation,case_consultation|document_review|contract_draft|dispute_resolution,case_consultation,"Candidate intents:
case_consultation: the user wants legal advice
document_review: the user wants legal document reviewed
contract_draft: the user needs a contract drafted
dispute_resolution: the user wants help resolving dispute
User message: I need to consult with a lawyer about a contract dispute

Answer with exactly one intent name from the list above.",dispute_resolution,dispute_resolution,True,True,False,2307.5,6
P8,exact,enum,1,I need to consult with a lawyer about a contract dispute,case_consultation,case_consultation|document_review|contract_draft|dispute_resolution,case_consultation,"Candidate intents:
case_consultation: the user wants legal advice
document_review: the user wants legal document reviewed
contract_draft: the user needs a contract drafted
dispute_resolution: the user wants help resolving dispute
User message: I need to consult with a lawyer about a contract dispute

Answer with exactly one intent name from the list above.",dispute_resolution,dispute_resolution,True,True,False,2340.8,6
P8,exact,enum,2,I need to consult with a lawyer about a contract dispute,case_consultation,case_consultation|document_review|contract_draft|dispute_resolution,case_consultation,"Candidate intents:
case_consultation: the user wants legal advice
document_review: the user wants legal document reviewed
contract_draft: the user needs a contract drafted
dispute_resolution: the user wants help resolving dispute
User message: I need to consult with a lawyer about a contract dispute

Answer with exactly one intent name from the list above.",dispute_resolution,dispute_resolution,True,True,False,2317.0,6
P9,exact,free,0,where is my food delivery right now?,delivery_tracking,delivery_tracking|delivery_estimate|missing_item,delivery_tracking,"Candidate intents:
delivery_tracking: the user tracks food delivery
delivery_estimate: the user asks when food arrives
missing_item: the user reports missing food item
User message: where is my food delivery right now?

Answer with exactly one intent name from the list above.",delivery_tracking,delivery_tracking,True,True,True,2288.2,3
P9,exact,free,1,where is my food delivery right now?,delivery_tracking,delivery_tracking|delivery_estimate|missing_item,delivery_tracking,"Candidate intents:
delivery_tracking: the user tracks food delivery
delivery_estimate: the user asks when food arrives
missing_item: the user reports missing food item
User message: where is my food delivery right now?

Answer with exactly one intent name from the list above.",delivery_tracking,delivery_tracking,True,True,True,2256.7,3
P9,exact,free,2,where is my food delivery right now?,delivery_tracking,delivery_tracking|delivery_estimate|missing_item,delivery_tracking,"Candidate intents:
delivery_tracking: the user tracks food delivery
delivery_estimate: the user asks when food arrives
missing_item: the user reports missing food item
User message: where is my food delivery right now?

Answer with exactly one intent name from the list above.",delivery_tracking,delivery_tracking,True,True,True,2232.1,3
P9,exact,enum,0,where is my food delivery right now?,delivery_tracking,delivery_tracking|delivery_estimate|missing_item,delivery_tracking,"Candidate intents:
delivery_tracking: the user tracks food delivery
delivery_estimate: the user asks when food arrives
missing_item: the user reports missing food item
User message: where is my food delivery right now?

Answer with exactly one intent name from the list above.",delivery_tracking,delivery_tracking,True,True,True,2249.8,5
P9,exact,enum,1,where is my food delivery right now?,delivery_tracking,delivery_tracking|delivery_estimate|missing_item,delivery_tracking,"Candidate intents:
delivery_tracking: the user tracks food delivery
delivery_estimate: the user asks when food arrives
missing_item: the user reports missing food item
User message: where is my food delivery right now?

Answer with exactly one intent name from the list above.",delivery_tracking,delivery_tracking,True,True,True,2280.4,5
P9,exact,enum,2,where is my food delivery right now?,delivery_tracking,delivery_tracking|delivery_estimate|missing_item,delivery_tracking,"Candidate intents:
delivery_tracking: the user tracks food delivery
delivery_estimate: the user asks when food arrives
missing_item: the user reports missing food item
User message: where is my food delivery right now?

Answer with exactly one intent name from the list above.",delivery_tracking,delivery_tracking,True,True,True,2274.0,5
0,native_in_random,free,0,where is my package?,tracking,account|password_reset|invoice|tracking,tracking,"Candidate intents:
account: the user is asking about login, profile or account settings
password_reset: the user forgot their password and needs to reset it
invoice: the user asks for a receipt or bill
tracking: the user wants to know where their order is
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2243.2,2
0,native_in_random,enum,0,where is my package?,tracking,account|password_reset|invoice|tracking,tracking,"Candidate intents:
account: the user is asking about login, profile or account settings
password_reset: the user forgot their password and needs to reset it
invoice: the user asks for a receipt or bill
tracking: the user wants to know where their order is
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2288.3,4
0,native_in_random,free,1,where is my package?,tracking,password_reset|tracking|login_issue|delete_account,tracking,"Candidate intents:
password_reset: the user forgot their password and needs to reset it
tracking: the user wants to know where their order is
login_issue: the user cannot sign in
delete_account: the user wants to remove their account
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2281.9,2
0,native_in_random,enum,1,where is my package?,tracking,password_reset|tracking|login_issue|delete_account,tracking,"Candidate intents:
password_reset: the user forgot their password and needs to reset it
tracking: the user wants to know where their order is
login_issue: the user cannot sign in
delete_account: the user wants to remove their account
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2308.2,4
0,native_in_nearsyn,free,0,where is my package?,tracking,delivery_time|wrong_item|tracking|order_status,tracking,"Candidate intents:
delivery_time: the user asks when an order will arrive
wrong_item: the user received the wrong item
tracking: the user wants to know where their order is
order_status: the user asks about the state of an order
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2226.6,2
0,native_in_nearsyn,enum,0,where is my package?,tracking,delivery_time|wrong_item|tracking|order_status,tracking,"Candidate intents:
delivery_time: the user asks when an order will arrive
wrong_item: the user received the wrong item
tracking: the user wants to know where their order is
order_status: the user asks about the state of an order
User message: where is my package?

Answer with exactly one intent name from the list above.",tracking,tracking,True,True,True,2268.6,4
0,native_out,free,0,where is my package?,tracking,delete_account|discount|cancel_order|password_reset,,"Candidate intents:
delete_account: the user wants to remove their account
discount: the user asks about coupons, sales or price reductions
cancel_order: the user wants to cancel an order they placed
password_reset: the user forgot their password and needs to reset it
User message: where is my package?

Answer with exactly one intent name from the list above.",none_of_the_above,none_of_the_above,False,False,False,2272.3,5
0,custom_in,free,0,where is my package?,tracking,mismatched_goods|purchase_state|package_location|account_removal,package_location,"Candidate intents:
mismatched_goods: the user received the wrong item
purchase_state: the user asks about the state of an order
package_location: the user wants to know where their order is
account_removal: the user wants to remove their account
User message: where is my package?

Answer with exactly one intent name from the list above.",package_location,package_location,True,True,True,2281.6,3
0,custom_in,enum,0,where is my package?,tracking,mismatched_goods|purchase_state|package_location|account_removal,package_location,"Candidate intents:
mismatched_goods: the user received the wrong item
purchase_state: the user asks about the state of an order
package_location: the user wants to know where their order is
account_removal: the user wants to remove their account
User message: where is my package?

Answer with exactly one intent name from the list above.",package_location,package_location,True,True,True,2305.1,5
1,native_in_random,free,0,can you check the delivery address on my last order?,shipping_address,return_item|warranty|refund|shipping_address,shipping_address,"Candidate intents:
return_item: the user wants to send a purchased item back
warranty: the user asks about guarantee or repair coverage
refund: the user wants money back for a purchase
shipping_address: the user wants to change or check the delivery address
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",shipping_address,shipping_address,True,True,True,2266.3,3
1,native_in_random,enum,0,can you check the delivery address on my last order?,shipping_address,return_item|warranty|refund|shipping_address,shipping_address,"Candidate intents:
return_item: the user wants to send a purchased item back
warranty: the user asks about guarantee or repair coverage
refund: the user wants money back for a purchase
shipping_address: the user wants to change or check the delivery address
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",shipping_address,shipping_address,True,True,True,2310.0,5
1,native_in_random,free,1,can you check the delivery address on my last order?,shipping_address,shipping_cost|shipping_address|tracking|order_status,shipping_address,"Candidate intents:
shipping_cost: the user asks about delivery fees
shipping_address: the user wants to change or check the delivery address
tracking: the user wants to know where their order is
order_status: the user asks about the state of an order
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",shipping_address,shipping_address,True,True,True,2290.1,3
1,native_in_random,enum,1,can you check the delivery address on my last order?,shipping_address,shipping_cost|shipping_address|tracking|order_status,shipping_address,"Candidate intents:
shipping_cost: the user asks about delivery fees
shipping_address: the user wants to change or check the delivery address
tracking: the user wants to know where their order is
order_status: the user asks about the state of an order
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",shipping_address,shipping_address,True,True,True,2279.8,5
1,native_in_nearsyn,free,0,can you check the delivery address on my last order?,shipping_address,order_status|shipping_address|shipping_cost|invoice,shipping_address,"Candidate intents:
order_status: the user asks about the state of an order
shipping_address: the user wants to change or check the delivery address
shipping_cost: the user asks about delivery fees
invoice: the user asks for a receipt or bill
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",order_status,order_status,True,True,False,2253.4,3
1,native_in_nearsyn,enum,0,can you check the delivery address on my last order?,shipping_address,order_status|shipping_address|shipping_cost|invoice,shipping_address,"Candidate intents:
order_status: the user asks about the state of an order
shipping_address: the user wants to change or check the delivery address
shipping_cost: the user asks about delivery fees
invoice: the user asks for a receipt or bill
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",order_status,order_status,True,True,False,2307.8,5
1,native_out,free,0,can you check the delivery address on my last order?,shipping_address,wrong_item|damaged_item|complaint|login_issue,,"Candidate intents:
wrong_item: the user received the wrong item
damaged_item: the user received a broken or defective item
complaint: the user files a complaint about service
login_issue: the user cannot sign in
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",none_of_the_above,none_of_the_above,False,False,False,2313.9,5
1,custom_in,free,0,can you check the delivery address on my last order?,shipping_address,package_location|general_comment|goods_return|delivery_place,delivery_place,"Candidate intents:
package_location: the user wants to know where their order is
general_comment: the user leaves general feedback or a review
goods_return: the user wants to send a purchased item back
delivery_place: the user wants to change or check the delivery address
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",package_location,package_location,True,True,False,2271.4,3
1,custom_in,enum,0,can you check the delivery address on my last order?,shipping_address,package_location|general_comment|goods_return|delivery_place,delivery_place,"Candidate intents:
package_location: the user wants to know where their order is
general_comment: the user leaves general feedback or a review
goods_return: the user wants to send a purchased item back
delivery_place: the user wants to change or check the delivery address
User message: can you check the delivery address on my last order?

Answer with exactly one intent name from the list above.",package_location,package_location,True,True,False,2312.2,5
2,native_in_random,free,0,I want my money back for this item,refund,account|warranty|payment_issue|refund,refund,"Candidate intents:
account: the user is asking about login, profile or account settings
warranty: the user asks about guarantee or repair coverage
payment_issue: the user has a problem paying or a failed charge
refund: the user wants money back for a purchase
User message: I want my money back for this item

Answer with exactly one intent name from the list above.",refund,refund,True,True,True,2268.5,2
2,native_in_random,enum,0,I want my money back for this item,refund,account|warranty|payment_issue|refund,refund,"Candidate intents:
account: the user is asking about login, profile or account settings
warranty: the user asks about guarantee or repair coverage
payment_issue: the user has a problem paying or a failed charge
refund: the user wants money back for a purchase
User message: I want my money back for this item

Answer with exactly one intent name from the list above.",refund,refund,True,True,True,2303.3,4
2,native_in_random,free,1,I want my money back for this item,refund,warranty|subscription|damaged_item|refund,refund,"Candidate intents:
warranty: the user asks about guarantee or repair coverage
subscription: the user asks about a recurring plan or membership
damaged_item: the user received a broken or defective item
refund: the user wants money back for a purchase
User message: I want my money back for this item

Answer with exactly one intent name from the list above.",refund,refund,True,True,True,2260.1,2
